ticker,displayName,securityType,isCore,yahooSymbol,localEvents,reachable,epsQuarters,revQuarters,hasTtmRevenue,hasTtmEbitda,priceBars,priceReachable,state,reasons
VZ MM,"Verizon Communications",operating,false,VZ.MX,0,true,0,3,true,true,20,true,PARTIAL,no-past-quarters
TMUS MM,"T-Mobile US",operating,false,TMUS.MX,0,true,0,4,true,true,20,true,PARTIAL,no-past-quarters
ABE0 GR,"Alphabet",operating,false,ABE0.F,0,true,0,4,true,true,20,true,PARTIAL,no-past-quarters
GOOGL SW,"Alphabet",operating,false,GOOGL.SW,0,true,0,4,true,true,20,true,PARTIAL,no-past-quarters
251270 KS,"Netmarble",operating,false,251270.KS,4,true,4,4,true,true,21,true,OK,
DTE CP,"Deutsche Telekom",operating,false,DTE.PR,0,true,0,4,true,true,19,true,PARTIAL,no-past-quarters
T MM,"AT&T",operating,false,T.MX,0,true,0,4,true,true,20,true,PARTIAL,no-past-quarters
DIS MM,"The Walt Disney",operating,false,DIS.MX,0,true,0,4,true,true,20,true,PARTIAL,no-past-quarters
VOD LN,"Vodafone Group Public Limited",operating,false,VOD.L,0,true,0,0,true,true,20,true,PARTIAL,no-past-quarters
MNCN IJ,"PT. Media Nusantara Citra Tbk",operating,false,MNCN.JK,0,true,0,4,true,true,22,true,PARTIAL,no-past-quarters
DATA IJ,"Remala Abadi Tbk.",operating,false,DATA.JK,0,true,0,0,true,true,22,true,PARTIAL,no-past-quarters
BREN IJ,"PT Barito Renewables Energy Tbk",operating,false,BREN.JK,0,true,0,0,true,true,22,true,PARTIAL,no-past-quarters
CDIA IJ,"Chandra Daya Investasi Tbk.",operating,false,CDIA.JK,0,true,0,0,true,true,22,true,PARTIAL,no-past-quarters
PGEO IJ,"PT Pertamina Geothermal Energy Tbk",operating,false,PGEO.JK,3,true,3,3,true,true,22,true,OK,
PGAS IJ,"PT Perusahaan Gas Negara (Persero) Tbk",operating,false,PGAS.JK,3,true,3,3,true,true,22,true,OK,
015760 KS,"Korea Electric Power",operating,false,015760.KS,4,true,4,4,true,true,21,true,OK,
EON HB,"E.ON SE",operating,false,EON.BD,0,true,0,4,true,true,20,true,PARTIAL,no-past-quarters
RAJA IJ,"PT Rukun Raharja Tbk",operating,false,RAJA.JK,0,true,0,0,true,true,22,true,PARTIAL,no-past-quarters
ARKO IJ,"PT Arkora Hydro Tbk",operating,false,ARKO.JK,0,true,0,0,true,true,22,true,PARTIAL,no-past-quarters
POWR IJ,"PT Cikarang Listrindo Tbk",operating,false,POWR.JK,0,true,0,1,true,true,22,true,PARTIAL,no-past-quarters
NG LN,"National Grid",operating,false,NG.L,0,true,0,0,true,true,20,true,PARTIAL,no-past-quarters
ADANIPOWER IN,"Adani Power",operating,false,ADANIPOWER.NS,4,true,4,3,true,true,22,true,OK,
ENLT IT,"Enlight Renewable Energy",operating,false,ENLT.TA,0,true,0,4,true,true,19,true,PARTIAL,no-past-quarters
NTPC IN,"NTPC",operating,false,NTPC.NS,4,true,4,3,true,true,22,true,OK,
NEE MM,"NextEra Energy",operating,false,NEE.MX,0,true,0,4,true,true,20,true,PARTIAL,no-past-quarters
KEEN IJ,"PT Kencana Energi Lestari Tbk",operating,false,KEEN.JK,0,true,0,0,true,true,22,true,PARTIAL,no-past-quarters
OPCE IT,"OPC Energy",operating,false,OPCE.TA,0,true,0,0,true,true,19,true,PARTIAL,no-past-quarters
036460 KS,"Korea Gas",operating,false,036460.KS,0,true,0,4,true,true,21,true,PARTIAL,no-past-quarters
SSE LN,"SSE",operating,false,SSE.L,0,true,0,0,true,true,20,true,PARTIAL,no-past-quarters
9503 JP,"The Kansai Electric Power Company, Incorporated",operating,false,9503.T,4,true,4,0,true,true,21,true,OK,
POWERGRID IN,"Power Grid Corporation of India",operating,false,POWERGRID.BO,4,true,4,3,true,true,21,true,OK,
ADANIGREEN IN,"Adani Green Energy",operating,false,ADANIGREEN.BO,4,true,4,3,true,true,21,true,OK,
9502 JP,"Chubu Electric Power Company, Incorporated",operating,false,9502.T,4,true,4,0,true,true,21,true,OK,
9532 JP,"Osaka Gas Co.",operating,false,9532.T,4,true,4,0,true,true,21,true,OK,
9531 JP,"Tokyo Gas Co.,Ltd.",operating,false,9531.T,4,true,4,0,true,true,21,true,OK,
OASA IJ,"PT Maharaksa Biru Energi Tbk",operating,false,OASA.JK,0,true,0,0,true,true,22,true,PARTIAL,no-past-quarters
ADANIENSOL IN,"Adani Energy Solutions",operating,false,ADANIENSOL.NS,4,true,4,3,true,true,21,true,OK,
475150 KS,"SK eternix Co.",operating,false,475150.KS,0,true,0,0,true,true,21,true,PARTIAL,no-past-quarters
ORA IT,"Ormat Technologies",operating,false,ORA.TA,0,true,0,4,true,true,19,true,PARTIAL,no-past-quarters
FUTR IJ,"PT Futura Energi Global Tbk",operating,false,FUTR.JK,0,true,0,0,true,true,22,true,PARTIAL,no-past-quarters
SO MM,"The Southern",operating,false,SO.MX,0,true,0,4,true,true,20,true,PARTIAL,no-past-quarters
CEG MM,"Constellation Energy",operating,false,CEG.MX,0,true,0,4,true,true,20,true,PARTIAL,no-past-quarters
DORL IT,"Doral Group Renewable Energy Resources",operating,false,DORL.TA,0,true,0,0,true,true,19,true,PARTIAL,no-past-quarters
CKI LN,"CK INFRASTRUCTURE HOLDINGS LIMI",operating,false,CKI.L,0,true,0,0,true,true,20,true,PARTIAL,no-past-quarters
ENRG IT,"Energix - Renewable Energies",operating,false,ENRG.TA,0,true,0,0,true,true,19,true,PARTIAL,no-past-quarters
ENGIN MM,"ENGIE",operating,false,ENGIN.MX,0,true,0,0,true,true,17,true,PARTIAL,no-past-quarters
EOAN CP,"E.ON SE",operating,false,EOAN.PR,0,true,0,4,true,true,19,true,PARTIAL,no-past-quarters
AEP MM,"American Electric Power Company",operating,false,AEP.MX,0,true,0,4,true,true,20,true,PARTIAL,no-past-quarters
TATAPOWER IN,"The Tata Power Company",operating,false,TATAPOWER.NS,4,true,4,3,true,true,22,true,OK,
ENRIN IN,"Siemens Energy India",operating,false,ENRIN.NS,3,true,3,4,true,true,21,true,OK,
GAIL IN,"GAIL (India)",operating,false,GAIL.NS,4,true,4,3,true,true,21,true,OK,
KEN IT,"Kenon Holdings",operating,false,KEN.TA,0,true,0,0,true,true,19,true,PARTIAL,no-past-quarters
RWE CP,"RWE Aktiengesellschaft",operating,false,RWE.PR,0,true,0,4,true,true,19,true,PARTIAL,no-past-quarters
UU LN,"United Utilities Group",operating,false,UU.L,0,true,0,0,true,true,20,true,PARTIAL,no-past-quarters
JSWENERGY IN,"JSW Energy",operating,false,JSWENERGY.NS,4,true,4,3,true,true,21,true,OK,
GULF-R TB,"Gulf Development Public Company",operating,false,GULF-R.BK,0,true,0,4,true,true,21,true,PARTIAL,no-past-quarters
GULF TB,"Gulf Development Public Company",operating,false,GULF.BK,4,true,4,4,true,true,21,true,OK,
VST MM,"Vistra",operating,false,VST.MX,0,true,0,4,true,true,20,true,PARTIAL,no-past-quarters
NEXT34 BZ,"NextEra Energy",operating,false,NEXT34.SA,0,true,0,4,true,true,20,true,PARTIAL,no-past-quarters
SVT LN,"Severn Trent",operating,false,SVT.L,0,true,0,0,true,true,20,true,PARTIAL,no-past-quarters
1773 JP,"YTL Corporation Berhad",operating,false,1773.T,0,true,0,1,true,true,21,true,PARTIAL,no-past-quarters
9508 JP,"Kyushu Electric Power Company, Incorporated",operating,false,9508.T,2,true,2,0,true,true,21,true,OK,
DCII IJ,"PT DCI Indonesia Tbk",operating,false,DCII.JK,0,true,0,0,true,true,22,true,PARTIAL,no-past-quarters
MPRO IJ,"PT Maha Properti Indonesia Tbk",operating,false,MPRO.JK,0,true,0,0,true,true,22,true,PARTIAL,no-past-quarters
PANI IJ,"PT Pantai Indah Kapuk Dua Tbk",operating,false,PANI.JK,0,true,0,0,true,true,22,true,PARTIAL,no-past-quarters
TOWR IJ,"PT Sarana Menara Nusantara Tbk.",operating,false,TOWR.JK,1,true,1,4,true,true,22,true,OK,
MKPI IJ,"PT Metropolitan Kentjana Tbk",operating,false,MKPI.JK,0,true,0,0,true,true,22,true,PARTIAL,no-past-quarters
CBDK IJ,"Bangun Kosambi Sukses Tbk.",operating,false,CBDK.JK,0,true,0,0,true,true,22,true,PARTIAL,no-past-quarters
RISE IJ,"PT Jaya Sukses Makmur Sentosa Tbk",operating,false,RISE.JK,0,true,0,0,true,true,22,true,PARTIAL,no-past-quarters
